id,code,gather_name,name,period,alias_name,city,city_id,district,district_id,zone,block_id,address,geo_point,geo_fence,is_within,status,created_at,updated_at,deleted_at,distance,geo_point_address,geo_point_name,address_point,name_point,confidence,construction_confidence,nearest,recover,community_type,mark_status,sync_tag,clean_status,is_residential,longitude,latitude,geo_point_name_longitude,geo_point_name_latitude,cre_ts,cre_user,upd_ts,upd_user
8920,31011500558,,集成大厦,,集成公寓(搜房),上海市,1,浦东新区,310115,陆家嘴,1000904,浦电路48弄18号,POINT(121.522976 31.224638),"MULTIPOLYGON(((121.522583 31.225414,121.523463 31.225707,121.52358 31.225607,121.523773 31.225255,121.523396 31.225093,121.523517 31.224792,121.523225 31.224665,121.523059 31.224599,121.522848 31.224538,121.522601 31.225371,121.522583 31.225414)))",1,1,1505902058,1537234985,0,0,POINT(121.52311540357 31.224984179562),POINT(121.523212 31.224845),,,1195,1026,-1,0,,1,1,2,1,121.522976,31.224638,121.523212,31.224845,2018-11-07 00:57:50,dw_etl,2018-11-07 00:57:50,dw_etl
8985,31011500571,,东宁路360号,,,上海市,1,浦东新区,310115,陆家嘴,1000904,东宁路360号,POINT(121.516807 31.238956),POINT(-1 -1),1,1,1505902058,1537234986,0,0,POINT(121.51692041299 31.239153191221),null,,,10,0,-1,0,,3,1,2,0,121.516807,31.238956,null,null,2018-11-07 00:57:50,dw_etl,2018-11-07 00:57:50,dw_etl
9080,31011500586,,东方路268号,,,上海市,1,浦东新区,310115,陆家嘴,1000904,东方路286号,POINT(121.527883 31.242325),"MULTIPOLYGON(((121.527881 31.242367,121.527827 31.242329,121.527894 31.242302,121.527912 31.242356,121.527881 31.242367)))",1,0,1505902058,1520233062,1520233062,0,POINT(121.5279490885 31.242345719871),POINT(121.527756 31.24257),东方路286号,崂山二村,2,2,-1,0,,1,1,2,1,121.527883,31.242325,121.527756,31.24257,2018-11-07 00:57:50,dw_etl,2018-11-07 00:57:50,dw_etl
9122,31011500595,,乳山路74号,,,上海市,1,浦东新区,310115,陆家嘴,1000904,乳山路74号,POINT(121.524128 31.239486),"MULTIPOLYGON(((121.524126 31.239528,121.524076 31.23947,121.524162 31.239467,121.524139 31.239521,121.524126 31.239528)))",1,1,1505902058,1537234986,0,0,POINT(121.52420553054 31.239544798146),null,乳山路74号,乳山二村,10,1024,-1,0,,1,1,2,1,121.524128,31.239486,null,null,2018-11-07 00:57:50,dw_etl,2018-11-07 00:57:50,dw_etl
9322,31011500624,,上海中心大厦,,,上海市,1,浦东新区,310115,陆家嘴,1000904,银城中路501号,POINT(121.5128676 31.23975962),"MULTIPOLYGON(((121.510936 31.238328,121.510757 31.240088,121.513218 31.239779,121.51355 31.238482,121.510954 31.238312,121.510936 31.238328)))",1,1,1505902058,1537234986,0,0,POINT(121.51286763851 31.239759620005),POINT(121.511922 31.239504),银城中路501号,,1163,0,-1,0,,1,1,2,0,121.5128676,31.23975962,121.511922,31.239504,2018-11-07 00:57:50,dw_etl,2018-11-07 00:57:50,dw_etl
9579,31011500663,,浦电路46号,,,上海市,1,浦东新区,310115,陆家嘴,1000904,浦电路46号,POINT(121.52365 31.223655),"MULTIPOLYGON(((121.523657 31.223701,121.523607 31.223639,121.523684 31.223639,121.52367 31.223678,121.523657 31.223701)))",1,0,1505902058,1520235420,1520235420,0,POINT(121.52392322366 31.223709690804),null,浦电路77号,,2,2,-1,0,,1,1,2,1,121.52365,31.223655,null,null,2018-11-07 00:57:50,dw_etl,2018-11-07 00:57:50,dw_etl
9837,31011500713,,良友大厦,,,上海市,1,浦东新区,310115,陆家嘴,1000904,商城路618号,POINT(121.524868 31.236037),"MULTIPOLYGON(((121.524472 31.235782,121.525101 31.235882,121.524962 31.236376,121.524333 31.236299,121.524373 31.235929,121.524472 31.235782)))",1,1,1505902058,1537234987,0,0,POINT(121.52444495321 31.236028563124),POINT(121.524666 31.236048),商城路660号-4楼,,1163,0,-1,0,,1,1,2,0,121.524868,31.236037,121.524666,31.236048,2018-11-07 00:57:50,dw_etl,2018-11-07 00:57:50,dw_etl
10178,31011500754,,招远小区,,,上海市,1,浦东新区,310115,陆家嘴,1000904,招远路19弄,POINT(121.5215935 31.24219705),"MULTIPOLYGON(((121.522716 31.241826,121.52206 31.243042,121.520538 31.242625,121.520672 31.242332,121.520717 31.242274,121.520874 31.241799,121.52074 31.241765,121.520879 31.241359,121.520165 31.241101,121.520201 31.240889,121.522716 31.241826)))",1,1,1505902058,1537234988,0,0,POINT(121.52146491631 31.242305169794),POINT(121.521202 31.242013),,,1195,1026,-1,0,,1,1,2,1,121.5215935,31.24219705,121.521202,31.242013,2018-11-07 00:57:50,dw_etl,2018-11-07 00:57:50,dw_etl
10490,31011500800,,盛大金磐,,,上海市,1,浦东新区,310115,陆家嘴,1000904,东泰路200弄,POINT(121.512398 31.237614),"MULTIPOLYGON(((121.510947 31.238085,121.511153 31.237027,121.511432 31.236387,121.514136 31.236996,121.513624 31.238324,121.51092 31.238093,121.510947 31.238085)))",1,1,1505902058,1537234989,0,0,POINT(121.51113036237 31.237500470093),POINT(121.51248 31.237754),,,1199,1030,-1,0,,1,1,6,1,121.512398,31.237614,121.51248,31.237754,2018-11-07 00:57:50,dw_etl,2018-11-07 00:57:50,dw_etl
10542,31011500808,,震旦大厦,,,上海市,1,浦东新区,310115,陆家嘴,1000904,富城路99号,POINT(121.5060625 31.24018036),"MULTIPOLYGON(((121.506134 31.239733,121.505497 31.240524,121.506296 31.240887,121.506822 31.240107,121.506152 31.239736,121.506134 31.239733)))",1,1,1505902058,1537234989,0,0,POINT(121.50606250446 31.240180335163),POINT(121.506227 31.240308),,,1162,0,-1,0,,1,1,2,0,121.5060625,31.24018036,121.506227,31.240308,2018-11-07 00:57:50,dw_etl,2018-11-07 00:57:50,dw_etl
